targets 260
  [1] HIT Paktor                       careers@paktor.com
  SMTP NO  [215] careers@visma.com                          Visma              cache catch-all
  SMTP NO  [216] careers@iceye.com                          ICEYE              cache invalid
  SMTP NO  [217] careers@supermetrics.com                   Supermetrics       cache catch-all
  SMTP NO  [218] careers@toogoodtogo.com                    Too Good To Go     cache reject
  SMTP NO  [219] careers@wolt.com                           Wolt               cache reject
  SMTP NO  [220] careers@emag.ro                            eMAG               cache reject
  SMTP NO  [221] careers@gitbook.com                        GitBook            cache invalid
  SMTP NO  [222] careers@jetbrains.com                      JetBrains          cache invalid
  SMTP NO  [223] careers@toggl.com                          Toggl              cache invalid
  SMTP NO  [224] careers@kahoot.com                         Kahoot             cache invalid
  SMTP NO  [225] careers@bitstamp.net                       Bitstamp           cache catch-all
  SMTP NO  [226] careers@synthesia.io                       Synthesia          cache catch-all
  SMTP NO  [227] careers@ghost.org                          Ghost              cache reject
  SMTP NO  [228] careers@payhawk.com                        Payhawk            cache reject
  SMTP NO  [229] careers@trading212.com                     Trading 212        cache catch-all
  SMTP NO  [230] careers@bitdefender.com                    Bitdefender        cache catch-all
  SMTP NO  [231] careers@prismic.io                         Prismic            cache invalid
  SMTP NO  [232] careers@deepl.com                          DeepL              cache catch-all
  SMTP NO  [233] careers@stability.ai                       Stability AI       cache reject
  SMTP NO  [234] careers@strapi.io                          Strapi             cache invalid
  SMTP NO  [235] careers@etoro.com                          eToro              cache probe-blocked
  SMTP NO  [236] careers@hibob.com                          HiBob              cache catch-all
  SMTP NO  [237] careers@milkmantechnologies.com            Milkman Technologi no mx
  SMTP NO  [238] careers@helbiz.com                         Helbiz             no mx
  SMTP NO  [239] careers@tokopedia.com                      Tokopedia          mx1.bytedance.com rcpt 550 b'verify address failed, Use
READY 7 -> /home/sleepwellsystem/Desktop/codet-webb/output/emails_go_sg_au_eu_2026-08-23.csv
  careers@matchmove.com  MatchMove  [Singapore]
  careers@propertyguru.com  PropertyGuru  [Singapore]
  careers@razer.com  Razer  [Singapore]
  careers@rea-group.com  REA Group  [Australia]
  careers@myob.com  MYOB  [Australia]
  careers@mailgun.com  Mailgun  [Remote]
  careers@usefathom.com  Fathom Analytics  [Remote]
