Match Score,Title,Company,Role Fit,Work Mode,Location,Location Fit,Pakistan Friendly,Matched Skills,Seniority,Experience Fit,Salary,Job Type,Posted,Source,Apply URL,HR / Recruiter Email,Email Source,Other Emails,Company Domain,Summary,Notes,Applied?,Applied On,Status,My Notes
6,Flutter Developer,Code Ninety,,unknown,Pakistan,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.codeninety.com/jobs/flutter-developer-islamabad.html,hr@codeninety.com,company website,info@codeninety.com,codeninety.com,,,,,,
6,IT Support Engineer,Code Ninety,,unknown,Pakistan,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.codeninety.com/jobs/it-support-engineer-islamabad.html,hr@codeninety.com,company website,info@codeninety.com,codeninety.com,,,,,,
6,Forward Deployed Engineer,Codecov,,unknown,"Bengaluru, Karnataka, India",Timezone / APAC remote,Maybe,,unspecified,Maybe,,,,Greenhouse/harnessinc,https://www.harness.io/company/jobs/apply?gh_jid=5062241007&gh_jid=5062241007,,,,codecov.io,,Remote with APAC/timezone overlap — worth applying.,,,,
6,Customer Support Engineer,dbt Labs,,unknown,Remote,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.fivetran.com/careers/job?gh_jid=7626166003,,,,getdbt.com,,,,,,
6,Software Engineer,dbt Labs,Software Engineer,unknown,Remote,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.fivetran.com/careers/job?gh_jid=7778979003,,,,getdbt.com,,,,,,
6,"Systems Engineer, Integrations (Data and Systems)",dbt Labs,,unknown,Remote,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.fivetran.com/careers/job?gh_jid=7668146003,,,,getdbt.com,,,,,,
6,"AI Transformation Owner, CRO",GitLab,,remote,Anywhere in the World,Worldwide remote,Yes,,unspecified,Maybe,,Full-Stack Programming,,We Work Remotely,https://weworkremotely.com/remote-jobs/gitlab-ai-transformation-owner-cro,,,,gitlab.com,"Headquarters: Remote, United States GitLab is the intelligent orchestration platform for DevSecOps. GitLab enables organizations to increase developer productivity, improve operational efficiency, reduce security and compliance risk, and accelerate digital transformation. More…",,,,,
6,Analytics Engineer,Linear,,unknown,North America,North America,Maybe,,unspecified,Maybe,,,,Ashby/Linear,https://jobs.ashbyhq.com/Linear/f272fc4a-91a7-4dcf-9cb5-3600ebaf14e1,,,,linear.app,,,,,,
6,Brand Engineer Design • Multiple locations,Lovable,,unknown,Remote,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.lovable.dev/careers/brand-engineer-a4e39b,,,,lovable.dev,,,,,,
6,Forward Deployed Engineer Engineering • Multiple locations,Lovable,,unknown,Remote,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.lovable.dev/careers/forward-deployed-engineer-7fe392,,,,lovable.dev,,,,,,
6,CNC Programmer,Mustakbil Tech,,unknown,Karachi,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.mustakbil.com/jobs/job/1433846,,,,mustakbil.com,,,,,,
6,Online Developer for Automated Forex Trading Strategies,Mustakbil Tech,,unknown,Karachi,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.mustakbil.com/jobs/job/1433874,,,,mustakbil.com,,,,,,
6,Developer OutSystems,OutSystems,,unknown,Europe,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.outsystems.com/community/jobs/27883/,careers@outsystems.com,company website,,outsystems.com,,,,,,
6,OutSystems Developer Specialist,OutSystems,,unknown,Europe,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.outsystems.com/community/jobs/27880/,careers@outsystems.com,company website,,outsystems.com,,,,,,
6,OutSystems Mid Developer,OutSystems,,unknown,Europe,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.outsystems.com/community/jobs/27885/,careers@outsystems.com,company website,,outsystems.com,,,,,,
6,OutSystems Software Developer,OutSystems,Software Engineer,unknown,Europe,Unknown,Maybe,,unspecified,Maybe,,,,career-page,https://www.outsystems.com/community/jobs/27877/,careers@outsystems.com,company website,,outsystems.com,,,,,,
6,Embedded Systems Engineer,Tractable,,unknown,Salt Lake City,Salt Lake City,Maybe,,unspecified,Maybe,,,,Ashby/tractable,https://jobs.ashbyhq.com/tractable/5247ca75-f4ab-401f-86fc-7791aaeadb7f,,,,tractable.ai,,,,,,
6,Technical Content Engineer,Trigger.dev,,remote,Remote or Hybrid UK,Worldwide remote,Yes,,unspecified,Maybe,,,,Ashby/triggerdev,https://jobs.ashbyhq.com/triggerdev/13151df0-d386-4121-8231-543e31439407,,,,trigger.dev,,,,,,
6,Technical Content Engineer Full-time,Trigger.dev,,remote,Remote,Worldwide remote,Yes,,unspecified,Maybe,,,,career-page,https://jobs.ashbyhq.com/triggerdev/13151df0-d386-4121-8231-543e31439407,,,,trigger.dev,,,,,,
