Company,Region,City,HR / Recruiter Email,Email Source,Other Emails,Domain,Careers / Apply URL,Sample Role
Synapse Analytics,Egypt,Cairo / remote,careers@synapse-analytics.io,guessed pattern (verify before sending),hr@synapse-analytics.io,synapse-analytics.io,https://synapse-analytics.io/careers,
Telda,Egypt,Cairo / remote,careers@telda.app,guessed pattern (verify before sending),hr@telda.app,telda.app,https://telda.app/careers,
Trella,Egypt,Cairo / remote,careers@trella.app,guessed pattern (verify before sending),hr@trella.app,trella.app,https://trella.app/careers,
Valeo Egypt,Egypt,Cairo / remote,careers@valeo.com,guessed pattern (verify before sending),hr@valeo.com,valeo.com,https://valeo.com/careers,
Valify,Egypt,Cairo / remote,info@valify.me,company website,,valify.me,https://valify.me/careers,
Vodafone Egypt,Egypt,Cairo,careers@vodafone.com.eg,guessed pattern (verify before sending),hr@vodafone.com.eg,vodafone.com.eg,https://vodafone.com.eg/careers,
Abwaab,Jordan,Amman / remote,careers@abwaab.com,guessed pattern (verify before sending),hr@abwaab.com,abwaab.com,https://abwaab.com/careers,
ArabiaWeather,Jordan,Amman,careers@arabiaweather.com,company website,"helpdesk@arabiaweather.com, advertising@arabiaweather.com, stations@arabiaweather.com",arabiaweather.com,https://arabiaweather.com/careers,
Estarta,Jordan,Amman,info@estarta.com,company website,,estarta.com,https://estarta.com/careers,
MadfooatCom,Jordan,Amman / remote,careers@madfooat.com,guessed pattern (verify before sending),hr@madfooat.com,madfooat.com,https://madfooat.com/careers,
Mawdoo3,Jordan,Amman / remote,careers@mawdoo3.com,guessed pattern (verify before sending),hr@mawdoo3.com,mawdoo3.com,https://mawdoo3.com/careers,
OpenSooq,Jordan,Amman / remote,careers@opensooq.com,guessed pattern (verify before sending),hr@opensooq.com,opensooq.com,https://opensooq.com/careers,
ProgressSoft,Jordan,Amman / remote,careers@progressoft.com,company website,"hr@progressoft.com, info@progressoft.com",progressoft.com,https://progressoft.com/careers,
ZenHR,Jordan,Amman / remote,careers@zenhr.com,guessed pattern (verify before sending),hr@zenhr.com,zenhr.com,https://zenhr.com/careers,
Murex,Lebanon,Beirut / remote,website@murex.com,company website,,murex.com,https://murex.com/careers,
Anghami,MENA,Beirut / Dubai,careers@anghami.com,guessed pattern (verify before sending),hr@anghami.com,anghami.com,https://anghami.com/careers,
AppsFlyer,MENA,Tel Aviv / remote,careers@appsflyer.com,company website,"agency@appsflyer.com, globalops@appsflyer.com, partners@appsflyer.com, liron.or@appsflyer.com",appsflyer.com,https://appsflyer.com/careers,
Bayut,MENA,Dubai,careers@bayut.com,guessed pattern (verify before sending),hr@bayut.com,bayut.com,https://bayut.com/careers,
Bayzat,MENA,Dubai,recruitment@bayzat.com,company website,,bayzat.com,https://bayzat.com/careers,
Delivery Hero,MENA,Dubai / Berlin,careers@deliveryhero.com,known company contact,,deliveryhero.com,https://deliveryhero.com/careers,
Dubizzle Group,MENA,Dubai,careers@dubizzle.com,guessed pattern (verify before sending),hr@dubizzle.com,dubizzle.com,https://dubizzle.com/careers,
e& / Etisalat,MENA,Abu Dhabi,careers@eand.com,guessed pattern (verify before sending),hr@eand.com,eand.com,https://eand.com/careers,
Emirates Group IT,MENA,Dubai,pr@emirates.com,company website,saorrek@emirates.com,emirates.com,https://emirates.com/careers,
Fawry,MENA,Cairo,careers@fawry.com,guessed pattern (verify before sending),hr@fawry.com,fawry.com,https://fawry.com/careers,
Fiverr,MENA,Tel Aviv / remote,careers@fiverr.com,guessed pattern (verify before sending),hr@fiverr.com,fiverr.com,https://fiverr.com/careers,
Folio3 UAE/PK,MENA,Dubai / Karachi,careers@folio3.ae,guessed pattern (verify before sending),hr@folio3.ae,folio3.ae,https://folio3.ae/careers,
Foodics,MENA,Riyadh,info@foodics.com,company website,,foodics.com,https://foodics.com/careers,
Fresha,MENA,Dubai / remote,careers@fresha.com,company website,"hr@fresha.com, jobs@fresha.com",fresha.com,https://fresha.com/careers,
Geidea,MENA,Riyadh,careers@geidea.net,guessed pattern (verify before sending),hr@geidea.net,geidea.net,https://geidea.net/careers,
HungerStation,MENA,Riyadh,careers@hungerstation.com,guessed pattern (verify before sending),hr@hungerstation.com,hungerstation.com,https://hungerstation.com/careers,
Huspy,MENA,Dubai,careers@huspy.com,company website,"hr@huspy.com, hi@huspy.com",huspy.com,https://huspy.com/careers,
HyperPay,MENA,Riyadh,careers@hyperpay.com,guessed pattern (verify before sending),hr@hyperpay.com,hyperpay.com,https://hyperpay.com/careers,
Instabug,MENA,Cairo / remote,careers@instabug.com,guessed pattern (verify before sending),hr@instabug.com,instabug.com,https://instabug.com/careers,
Jahez,MENA,Riyadh,careers@jahezgroup.com,guessed pattern (verify before sending),hr@jahezgroup.com,jahezgroup.com,https://jahezgroup.com/careers,
Kitopi,MENA,Dubai,careers@kitopi.com,company website,"hr@kitopi.com, info@kitopi.com, nouha@kitopi.com",kitopi.com,https://kitopi.com/careers,
Lean Technologies,MENA,Riyadh,careers@leantech.me,guessed pattern (verify before sending),hr@leantech.me,leantech.me,https://leantech.me/careers,
Lightricks,MENA,Jerusalem / remote,careers@lightricks.com,guessed pattern (verify before sending),hr@lightricks.com,lightricks.com,https://lightricks.com/careers,
MaxAB,MENA,Cairo,careers@maxab.io,company website,info@maxab.io,maxab.io,https://maxab.io/careers,
Melio,MENA,Tel Aviv / remote,careers@meliopayments.com,guessed pattern (verify before sending),hr@meliopayments.com,meliopayments.com,https://meliopayments.com/careers,
Monday.com,MENA,Tel Aviv / remote,accessibility@monday.com,company website,,monday.com,https://monday.com/careers,
Noon,MENA,Dubai / Riyadh,careers@noon.com,guessed pattern (verify before sending),hr@noon.com,noon.com,https://noon.com/careers,
Ooredoo,MENA,Doha,careers@ooredoo.com,guessed pattern (verify before sending),hr@ooredoo.com,ooredoo.com,https://ooredoo.com/careers,
Paymob,MENA,Cairo,careers@paymob.com,guessed pattern (verify before sending),hr@paymob.com,paymob.com,https://paymob.com/careers,
PayTabs,MENA,Riyadh / Bahrain,careers@paytabs.com,guessed pattern (verify before sending),hr@paytabs.com,paytabs.com,https://paytabs.com/careers,
Property Finder,MENA,Dubai,careers@propertyfinder.ae,guessed pattern (verify before sending),hr@propertyfinder.ae,propertyfinder.ae,https://propertyfinder.ae/careers,
Qatar Airways IT,MENA,Doha,careers@qatarairways.com,guessed pattern (verify before sending),hr@qatarairways.com,qatarairways.com,https://qatarairways.com/careers,
Qlub,MENA,Dubai,info-xx@qlub.io,company website,"info@qlub.io, info-sa@qlub.io, info-kw@qlub.io, info-qa@qlub.io, info-au@qlub.io, info-sg@qlub.io, info-my@qlub.io, info-hk@qlub.io, info-kr@qlub.io, info-br@qlub.io, info-us@qlub.io, info.bh@qlub.io, info.eg@qlub.io, info.jo@qlub.io",qlub.io,https://qlub.io/careers,
Riskified,MENA,Tel Aviv / remote,careers@riskified.com,guessed pattern (verify before sending),hr@riskified.com,riskified.com,https://riskified.com/careers,
Salla,MENA,Riyadh,careers@salla.sa,guessed pattern (verify before sending),hr@salla.sa,salla.sa,https://salla.sa/careers,
Sarwa,MENA,Dubai,careers@sarwa.co,guessed pattern (verify before sending),hr@sarwa.co,sarwa.co,https://sarwa.co/careers,
Similarweb,MENA,Tel Aviv / remote,careers@similarweb.com,guessed pattern (verify before sending),hr@similarweb.com,similarweb.com,https://similarweb.com/careers,
STC,MENA,Riyadh,careers@stc.com.sa,guessed pattern (verify before sending),hr@stc.com.sa,stc.com.sa,https://stc.com.sa/careers,
Swvl,MENA,Cairo / Dubai,careers@swvl.com,guessed pattern (verify before sending),hr@swvl.com,swvl.com,https://swvl.com/careers,
Tabby,MENA,Riyadh / Dubai,careers@tabby.ai,guessed pattern (verify before sending),hr@tabby.ai,tabby.ai,https://tabby.ai/careers,
Talabat,MENA,Dubai,careers@talabat.com,guessed pattern (verify before sending),hr@talabat.com,talabat.com,https://talabat.com/careers,
Tamara,MENA,Riyadh,careers@tamara.co,guessed pattern (verify before sending),hr@tamara.co,tamara.co,https://tamara.co/careers,
Tipalti,MENA,Tel Aviv / remote,contact@tipalti.com,company website,,tipalti.com,https://tipalti.com/careers,
Unifonic,MENA,Riyadh,careers@unifonic.com,guessed pattern (verify before sending),hr@unifonic.com,unifonic.com,https://unifonic.com/careers,
Vezeeta,MENA,Cairo,careers@vezeeta.com,guessed pattern (verify before sending),hr@vezeeta.com,vezeeta.com,https://vezeeta.com/careers,
Wio Bank,MENA,Abu Dhabi,careers@wio.io,guessed pattern (verify before sending),hr@wio.io,wio.io,https://wio.io/careers,
Wix,MENA,Tel Aviv / remote,careers@wix.com,guessed pattern (verify before sending),hr@wix.com,wix.com,https://wix.com/careers,
Zid,MENA,Riyadh,careers@zid.sa,guessed pattern (verify before sending),hr@zid.sa,zid.sa,https://zid.sa/careers,
Adevinta,Europe,Barcelona / remote,careers@adevinta.com,company website,"contact@adevinta.com, hr@adevinta.com",adevinta.com,https://adevinta.com/careers,
Adyen,Europe,Amsterdam / remote,careers@adyen.com,guessed pattern (verify before sending),hr@adyen.com,adyen.com,https://adyen.com/careers,
Aiven,Europe,Helsinki / remote,careers@aiven.io,company website,"hr@aiven.io, recruitment@aiven.io",aiven.io,https://aiven.io/careers,
Ajax Systems,Europe,Kyiv / remote,careers@ajax.systems,company website,hr@ajax.systems,ajax.systems,https://ajax.systems/careers,
Alan,Europe,Paris / remote,careers@alan.com,company website,"hr@alan.com, contact@alan.com",alan.com,https://alan.com/careers,
Aleph Alpha,Europe,Heidelberg / remote,careers@aleph-alpha.com,guessed pattern (verify before sending),hr@aleph-alpha.com,aleph-alpha.com,https://aleph-alpha.com/careers,
Algolia,Europe,Paris / remote,partners@algolia.com,company website,billing@algolia.com,algolia.com,https://algolia.com/careers,
AUTO1,Europe,Berlin / remote,info@auto1-group.com,company website,"ir@auto1-group.com, hr-be@auto1.com, hr-see@auto1.com, hr-dk@auto1.com, talentacquisition_hq@auto1.com, recruitment-nl@auto1.com",auto1-group.com,https://auto1-group.com/careers,
Back Market,Europe,Paris / remote,careers@backmarket.com,guessed pattern (verify before sending),hr@backmarket.com,backmarket.com,https://backmarket.com/careers,
Backbase,Europe,Amsterdam / remote,careers@backbase.com,guessed pattern (verify before sending),hr@backbase.com,backbase.com,https://backbase.com/careers,
Bitdefender,Europe,Bucharest / remote,careers@bitdefender.com,guessed pattern (verify before sending),hr@bitdefender.com,bitdefender.com,https://bitdefender.com/careers,
Bitpanda,Europe,Vienna / remote,careers@bitpanda.com,guessed pattern (verify before sending),hr@bitpanda.com,bitpanda.com,https://bitpanda.com/careers,
Bitstamp,Europe,Luxembourg / remote,careers@bitstamp.net,guessed pattern (verify before sending),hr@bitstamp.net,bitstamp.net,https://bitstamp.net/careers,
BlaBlaCar,Europe,Paris / remote,careers@blablacar.com,guessed pattern (verify before sending),hr@blablacar.com,blablacar.com,https://blablacar.com/careers,
Bolt,Europe,Tallinn / remote,careers@bolt.eu,guessed pattern (verify before sending),hr@bolt.eu,bolt.eu,https://bolt.eu/careers,
Bunny.net,Europe,Slovenia / remote,hello@bunny.net,company website,,bunny.net,https://bunny.net/careers,
Cabify,Europe,Madrid / remote,careers@cabify.com,guessed pattern (verify before sending),hr@cabify.com,cabify.com,https://cabify.com/careers,
Cal.com,Europe,Europe / remote,careers@cal.com,guessed pattern (verify before sending),hr@cal.com,cal.com,https://cal.com/careers,
Celonis,Europe,Munich / remote,info@celonis.com,company website,,celonis.com,https://celonis.com/careers,
Cleo,Europe,London / remote,careers@meetcleo.com,guessed pattern (verify before sending),hr@meetcleo.com,meetcleo.com,https://meetcleo.com/careers,
Cognite,Europe,Oslo / remote,careers@cognite.com,guessed pattern (verify before sending),hr@cognite.com,cognite.com,https://cognite.com/careers,
Contentful,Europe,Berlin / remote,careers@contentful.com,guessed pattern (verify before sending),hr@contentful.com,contentful.com,https://contentful.com/careers,
Contentsquare,Europe,Paris / remote,people.ops@contentsquare.com,company website,"contact-fr@contentsquare.com, contact-uk@contentsquare.com, contact-us@contentsquare.com, contact-ita@contentsquare.com",contentsquare.com,https://contentsquare.com/careers,
Criteo,Europe,Paris / remote,careers@criteo.com,guessed pattern (verify before sending),hr@criteo.com,criteo.com,https://criteo.com/careers,
CrowdStrike,Europe,"Germany,  Ireland,  Israel,  Romania,  UK",recruiting@crowdstrike.com,job posting,,,https://jobicy.com/jobs/145057-sr-security-researcher-ii-remote-deu,"Sr. Security Researcher II (Remote, DEU)"
Curve,Europe,London / remote,careers@curve.com,guessed pattern (verify before sending),hr@curve.com,curve.com,https://curve.com/careers,
Dashlane,Europe,Paris / remote,careers@dashlane.com,guessed pattern (verify before sending),hr@dashlane.com,dashlane.com,https://dashlane.com/careers,
Dataiku,Europe,Paris / remote,careers@dataiku.com,guessed pattern (verify before sending),hr@dataiku.com,dataiku.com,https://dataiku.com/careers,
DeepL,Europe,Cologne / remote,block@deepl.com,company website,u003eblock@deepl.com,deepl.com,https://deepl.com/careers,
deepset,Europe,Berlin / remote,careers@deepset.ai,guessed pattern (verify before sending),hr@deepset.ai,deepset.ai,https://deepset.ai/careers,
Deezer,Europe,Paris / remote,careers@deezer.com,guessed pattern (verify before sending),hr@deezer.com,deezer.com,https://deezer.com/careers,
Deliveroo,Europe,London / remote,careers@deliveroo.com,guessed pattern (verify before sending),hr@deliveroo.com,deliveroo.com,https://deliveroo.com/careers,
Doctolib,Europe,Paris / remote,careers@doctolib.com,guessed pattern (verify before sending),hr@doctolib.com,doctolib.com,https://doctolib.com/careers,
Doist,Europe,Europe / remote,careers@doist.com,company website,hr@doist.com,doist.com,https://doist.com/careers,
Dynatrace,Europe,Linz / remote,emeainfo@dynatrace.com,company website,"research@dynatrace.com, office.brno@dynatrace.com, dt-egypt-partner@dynatrace.com, pauli.karkkainen@dynatrace.com, dt-greece-partner@dynatrace.com, office.tel-aviv@dynatrace.com, gdn.office@dynatrace.com, meinfo@dynatrace.com, dt-south-africa-partner@dynatrace.com, bcn.office@dynatrace.com, dt-turkey-partner@dynatrace.com, india.contact@dynatrace.com, japan.info@dynatrace.com, korea.info@dynatrace.com",dynatrace.com,https://dynatrace.com/careers,
Ecosia,Europe,Berlin / remote,careers@ecosia.org,guessed pattern (verify before sending),hr@ecosia.org,ecosia.org,https://ecosia.org/careers,
Element,Europe,London / remote,careers@element.io,guessed pattern (verify before sending),hr@element.io,element.io,https://element.io/careers,
ElevenLabs,Europe,London / remote,careers@elevenlabs.io,guessed pattern (verify before sending),hr@elevenlabs.io,elevenlabs.io,https://elevenlabs.io/careers,
eMAG,Europe,Bucharest / remote,careers@emag.ro,guessed pattern (verify before sending),hr@emag.ro,emag.ro,https://emag.ro/careers,
Epidemic Sound,Europe,Stockholm / remote,careers@epidemicsound.com,guessed pattern (verify before sending),hr@epidemicsound.com,epidemicsound.com,https://epidemicsound.com/careers,
eToro,Europe,London / remote,careers@etoro.com,guessed pattern (verify before sending),hr@etoro.com,etoro.com,https://etoro.com/careers,
Factorial,Europe,Barcelona / remote,careers@factorialhr.com,guessed pattern (verify before sending),hr@factorialhr.com,factorialhr.com,https://factorialhr.com/careers,
Farfetch,Europe,Porto / remote,careers@farfetch.com,guessed pattern (verify before sending),hr@farfetch.com,farfetch.com,https://farfetch.com/careers,
Featurespace,Europe,Cambridge / remote,careers@featurespace.com,guessed pattern (verify before sending),hr@featurespace.com,featurespace.com,https://featurespace.com/careers,
Feedzai,Europe,Lisbon / remote,careers@feedzai.com,guessed pattern (verify before sending),hr@feedzai.com,feedzai.com,https://feedzai.com/careers,
Fenergo,Europe,Dublin / remote,careers@fenergo.com,company website,"hello@fenergo.com, partners@fenergo.com",fenergo.com,https://fenergo.com/careers,
Flipdish,Europe,Dublin / remote,careers@flipdish.com,guessed pattern (verify before sending),hr@flipdish.com,flipdish.com,https://flipdish.com/careers,
Flix,Europe,Munich / remote,careers@flix.com,guessed pattern (verify before sending),hr@flix.com,flix.com,https://flix.com/careers,
Framer,Europe,Amsterdam / remote,abuse@framer.com,company website,,framer.com,https://framer.com/careers,
GetYourGuide,Europe,Berlin / remote,careers@getyourguide.com,guessed pattern (verify before sending),hr@getyourguide.com,getyourguide.com,https://getyourguide.com/careers,
Gitpod,Europe,Europe / remote,contact@gitpod.io,company website,,gitpod.io,https://gitpod.io/careers,
Glovo,Europe,Barcelona / remote,careers@glovoapp.com,guessed pattern (verify before sending),hr@glovoapp.com,glovoapp.com,https://glovoapp.com/careers,
Grafana Labs,Europe,Europe / remote,info@grafana.com,company website,partners@grafana.com,grafana.com,https://grafana.com/careers,
HelloFresh,Europe,Berlin / remote,careers@hellofresh.com,guessed pattern (verify before sending),hr@hellofresh.com,hellofresh.com,https://hellofresh.com/careers,
Hellofresh,Europe,"Warszawa, Masovian Voivodeship, Poland",careers@careers.hellofresh.com,guessed pattern (verify before sending),"hr@careers.hellofresh.com, jobs@careers.hellofresh.com, talent@careers.hellofresh.com, recruiting@careers.hellofresh.com",careers.hellofresh.com,https://careers.hellofresh.com/global/en/job/8028077?gh_jid=8028077,Senior Backend Engineer - Python and/or Go
Hetzner,Europe,Germany / remote,info@hetzner.com,company website,"tco@hetzner.com, dsa-authorities@hetzner.com",hetzner.com,https://hetzner.com/careers,
HiBob,Europe,London / remote,careers@hibob.com,guessed pattern (verify before sending),hr@hibob.com,hibob.com,https://hibob.com/careers,
Hotjar,Europe,Malta / remote,careers@hotjar.com,guessed pattern (verify before sending),hr@hotjar.com,hotjar.com,https://hotjar.com/careers,
ICEYE,Europe,Helsinki / remote,careers@iceye.com,guessed pattern (verify before sending),hr@iceye.com,iceye.com,https://iceye.com/careers,
JetBrains,Europe,Prague / remote,careers@jetbrains.com,guessed pattern (verify before sending),hr@jetbrains.com,jetbrains.com,https://jetbrains.com/careers,
Jobandtalent,Europe,Madrid / remote,careers@jobandtalent.com,company website,"info.de@jobandtalent.com, hr@jobandtalent.com",jobandtalent.com,https://jobandtalent.com/careers,
Just Eat Takeaway,Europe,London / Amsterdam / remote,careers@justeattakeaway.com,guessed pattern (verify before sending),hr@justeattakeaway.com,justeattakeaway.com,https://justeattakeaway.com/careers,
Kahoot,Europe,Oslo / remote,careers@kahoot.com,guessed pattern (verify before sending),hr@kahoot.com,kahoot.com,https://kahoot.com/careers,
Klarna,Europe,Stockholm / remote,careers@klarna.com,guessed pattern (verify before sending),hr@klarna.com,klarna.com,https://klarna.com/careers,
Langfuse,Europe,Berlin / remote,contact@langfuse.com,company website,,langfuse.com,https://langfuse.com/careers,
Ledger,Europe,Paris / remote,careers@ledger.com,guessed pattern (verify before sending),hr@ledger.com,ledger.com,https://ledger.com/careers,
Lunar,Europe,Copenhagen / remote,careers@lunar.app,guessed pattern (verify before sending),hr@lunar.app,lunar.app,https://lunar.app/careers,
ManoMano,Europe,Paris / remote,careers@manomano.com,guessed pattern (verify before sending),hr@manomano.com,manomano.com,https://manomano.com/careers,
Marshmallow,Europe,London / remote,careers@marshmallow.com,guessed pattern (verify before sending),hr@marshmallow.com,marshmallow.com,https://marshmallow.com/careers,
Meilisearch,Europe,Paris / remote,careers@meilisearch.com,guessed pattern (verify before sending),hr@meilisearch.com,meilisearch.com,https://meilisearch.com/careers,
Mirantis,Europe,Europe,isamoylova@mirantis.com,job posting,,,https://jobicy.com/jobs/150239-pre-sales-solution-architect-ai-infrastructure-remote-in-the-eu,Pre-Sales Solution Architect – AI Infrastructure (remote in the EU)
Miro,Europe,Amsterdam / remote,careers@miro.com,guessed pattern (verify before sending),hr@miro.com,miro.com,https://miro.com/careers,
Mistral AI,Europe,Paris / remote,peter@mistral.ai,company website,,mistral.ai,https://mistral.ai/careers,
Mollie,Europe,Amsterdam / remote,careers@mollie.com,company website,"info@mollie.com, hr@mollie.com",mollie.com,https://mollie.com/careers,
Monzo,Europe,London / remote,careers@monzo.com,company website,"hr@monzo.com, u003ehelp@monzo.com",monzo.com,https://monzo.com/careers,
Mullvad,Europe,Gothenburg / remote,careers@mullvad.net,guessed pattern (verify before sending),hr@mullvad.net,mullvad.net,https://mullvad.net/careers,
N26,Europe,Berlin / remote,careers@n26.com,company website,"imprint@n26.com, officials@n26.com, nimprint@n26.com, sam.walker@n26.com, hr@n26.com, jobs@n26.com, talent@n26.com, recruiting@n26.com",n26.com,https://n26.com/en-eu/careers/positions/8020406?gh_jid=8020406,Principal AI Engineer - Conversational Banking
Nexo,Europe,Sofia / remote,careers@nexo.com,guessed pattern (verify before sending),hr@nexo.com,nexo.com,https://nexo.com/careers,
Nextcloud,Europe,Stuttgart / remote,careers@nextcloud.com,guessed pattern (verify before sending),hr@nextcloud.com,nextcloud.com,https://nextcloud.com/careers,
Nexthink,Europe,Lausanne / remote,careers@nexthink.com,company website,"ncontact@nexthink.com, hr@nexthink.com",nexthink.com,https://nexthink.com/careers,
Nord Security,Europe,Vilnius / remote,career@nordsec.com,company website,,nordsecurity.com,https://nordsecurity.com/careers,
OakNorth,Europe,London / remote,careers@oaknorth.com,guessed pattern (verify before sending),hr@oaknorth.com,oaknorth.com,https://oaknorth.com/careers,
Oda,Europe,Oslo / remote,careers@oda.com,guessed pattern (verify before sending),hr@oda.com,oda.com,https://oda.com/careers,
OutSystems,Europe,Lisbon / remote,careers@outsystems.com,company website,hr@outsystems.com,outsystems.com,https://outsystems.com/careers,
OVHcloud,Europe,Roubaix / remote,careers@ovhcloud.com,guessed pattern (verify before sending),hr@ovhcloud.com,ovhcloud.com,https://ovhcloud.com/careers,
Oyster,Europe,Europe / remote,careers@oysterhr.com,guessed pattern (verify before sending),hr@oysterhr.com,oysterhr.com,https://oysterhr.com/careers,
Paddle,Europe,London / remote,careers@paddle.com,guessed pattern (verify before sending),hr@paddle.com,paddle.com,https://paddle.com/careers,
PayFit,Europe,Paris / remote,careers@payfit.com,guessed pattern (verify before sending),hr@payfit.com,payfit.com,https://payfit.com/careers,
pCloud,Europe,Sofia / remote,careers@pcloud.com,guessed pattern (verify before sending),hr@pcloud.com,pcloud.com,https://pcloud.com/careers,
Pennylane,Europe,Paris / remote,careers@pennylane.com,guessed pattern (verify before sending),hr@pennylane.com,pennylane.com,https://pennylane.com/careers,
Personio,Europe,Munich / remote,careers@personio.com,company website,"hello@personio.com, hr@personio.com",personio.com,https://personio.com/careers,
Phaidra,Europe,Europe,hiring@phaidra.ai,job posting,,,https://jobicy.com/jobs/149863-senior-ai-research-engineer,Senior AI Research Engineer
Photoroom,Europe,Paris / remote,careers@photoroom.com,guessed pattern (verify before sending),hr@photoroom.com,photoroom.com,https://photoroom.com/careers,
Picnic,Europe,Amsterdam / remote,careers@picnic.app,guessed pattern (verify before sending),hr@picnic.app,picnic.app,https://picnic.app/careers,
Pipedrive,Europe,Tallinn / remote,careers@pipedrive.com,guessed pattern (verify before sending),hr@pipedrive.com,pipedrive.com,https://pipedrive.com/careers,
Plausible,Europe,Europe / remote,hello@plausible.io,known + company website,,plausible.io,https://plausible.io/careers,
Pleo,Europe,Copenhagen / remote,partners@pleo.io,company website,info@pleo.io,pleo.io,https://pleo.io/careers,
Preply,Europe,Kyiv / remote,careers@preply.com,guessed pattern (verify before sending),hr@preply.com,preply.com,https://preply.com/careers,
Prismic,Europe,Paris / remote,careers@prismic.io,guessed pattern (verify before sending),hr@prismic.io,prismic.io,https://prismic.io/careers,
Proton,Europe,Geneva / remote,careers@proton.me,company website,"hr@proton.me, careers@proton.ch",proton.me,https://proton.me/careers,
Qdrant,Europe,Berlin / remote,careers@qdrant.tech,guessed pattern (verify before sending),hr@qdrant.tech,qdrant.tech,https://qdrant.tech/careers,
Qonto,Europe,Paris / remote,careers@qonto.com,guessed pattern (verify before sending),hr@qonto.com,qonto.com,https://qonto.com/careers,
Qwant,Europe,Paris / remote,careers@qwant.com,guessed pattern (verify before sending),hr@qwant.com,qwant.com,https://qwant.com/careers,
Rapyd,Europe,London / remote,careers@rapyd.net,guessed pattern (verify before sending),hr@rapyd.net,rapyd.net,https://rapyd.net/careers,
RELEX,Europe,Helsinki / remote,careers@relexsolutions.com,company website,"hr@relexsolutions.com, recruitment@relexsolutions.com",relexsolutions.com,https://relexsolutions.com/careers,
Remote,Europe,Lisbon / remote,hiring@remote.com,company website,help@remote.com,remote.com,https://remote.com/careers,
Revolut,Europe,London / remote,careers@revolut.com,guessed pattern (verify before sending),hr@revolut.com,revolut.com,https://revolut.com/careers,
SafetyWing,Europe,Europe / remote,partnerships@safetywing.com,company website,,safetywing.com,https://safetywing.com/careers,
Scaleway,Europe,Paris / remote,careers@scaleway.com,guessed pattern (verify before sending),hr@scaleway.com,scaleway.com,https://scaleway.com/careers,
Scandit,Europe,Zurich / remote,contact@scandit.com,company website,,scandit.com,https://scandit.com/careers,
Shift Technology,Europe,Paris / remote,jobs@shift-technology.com,company website,partners@shift-technology.com,shift-technology.com,https://shift-technology.com/careers,
Skyscanner,Europe,Edinburgh / remote,careers@skyscanner.net,guessed pattern (verify before sending),hr@skyscanner.net,skyscanner.net,https://skyscanner.net/careers,
Smartly,Europe,Helsinki / remote,careers@smartly.io,guessed pattern (verify before sending),hr@smartly.io,smartly.io,https://smartly.io/careers,
SoundCloud,Europe,Berlin / remote,dsa-contact@soundcloud.com,company website,"tco-contact@soundcloud.com, u003edsa-contact@soundcloud.com, u003etco-contact@soundcloud.com, recruiters@soundcloud.com, fraudulent-emails@soundcloud.com",soundcloud.com,https://soundcloud.com/careers,
Stability AI,Europe,London / remote,partners@stability.ai,company website,,stability.ai,https://stability.ai/careers,
Starling Bank,Europe,London / remote,help@starlingbank.com,company website,"speaking.invitations@starlingbank.com, brandpartnerships@starlingbank.com, accounts@starlingbank.com",starlingbank.com,https://starlingbank.com/careers,
Storyblok,Europe,Linz / remote,careers@storyblok.com,guessed pattern (verify before sending),hr@storyblok.com,storyblok.com,https://storyblok.com/careers,
SumUp,Europe,London / remote,careers@sumup.com,guessed pattern (verify before sending),hr@sumup.com,sumup.com,https://sumup.com/careers,
Swile,Europe,Paris / remote,careers@swile.co,guessed pattern (verify before sending),hr@swile.co,swile.co,https://swile.co/careers,
Synthesia,Europe,London / remote,careers@synthesia.io,guessed pattern (verify before sending),hr@synthesia.io,synthesia.io,https://synthesia.io/careers,
Talkdesk,Europe,Lisbon / remote,careers@talkdesk.com,guessed pattern (verify before sending),hr@talkdesk.com,talkdesk.com,https://talkdesk.com/careers,
Teamwork,Europe,Cork / remote,jobs@teamwork.com,company website,,teamwork.com,https://teamwork.com/careers,
Tide,Europe,London / remote,hello@tide.co,company website,complaints@tide.co,tide.co,https://tide.co/careers,
TomTom,Europe,Amsterdam / remote,productsafetyquestions@tomtom.com,company website,,tomtom.com,https://tomtom.com/careers,
Tractable,Europe,London / remote,careers@tractable.ai,guessed pattern (verify before sending),hr@tractable.ai,tractable.ai,https://tractable.ai/careers,
Trade Republic,Europe,Berlin / remote,careers@traderepublic.com,guessed pattern (verify before sending),hr@traderepublic.com,traderepublic.com,https://traderepublic.com/careers,
Trading 212,Europe,London / remote,careers@trading212.com,guessed pattern (verify before sending),hr@trading212.com,trading212.com,https://trading212.com/careers,
Trainline,Europe,London / remote,careers@thetrainline.com,guessed pattern (verify before sending),hr@thetrainline.com,thetrainline.com,https://thetrainline.com/careers,
TransferGo,Europe,Vilnius / remote,careers@transfergo.com,guessed pattern (verify before sending),hr@transfergo.com,transfergo.com,https://transfergo.com/careers,
TravelPerk,Europe,Barcelona / remote,careers@travelperk.com,guessed pattern (verify before sending),hr@travelperk.com,travelperk.com,https://travelperk.com/careers,
Tresorit,Europe,Zurich / remote,careers@tresorit.com,guessed pattern (verify before sending),hr@tresorit.com,tresorit.com,https://tresorit.com/careers,
Trezor,Europe,Prague / remote,careers@trezor.io,guessed pattern (verify before sending),hr@trezor.io,trezor.io,https://trezor.io/careers,
